Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.751596877217885,0.5207612456747405,0.8048128342245989,0.6323529411764706,0.8470704487328528
Gradient Boosting,0.7565649396735273,0.5285451197053407,0.767379679144385,0.6259541984732825,0.8468392363533028
AdaBoost,0.7487579843860894,0.5174825174825175,0.7914438502673797,0.6257928118393234,0.8444431527551732
LightGBM,0.765791341376863,0.5454545454545454,0.7058823529411765,0.6153846153846154,0.83645147123408
XGBoost,0.7579843860894251,0.5353319057815846,0.6684491978609626,0.5945303210463734,0.8258376604923918
SVM,0.7444996451383961,0.5123674911660777,0.7754010695187166,0.6170212765957447,0.8232607403962904
Random Forest,0.7707594038325053,0.5594405594405595,0.6417112299465241,0.597758405977584,0.8188741636311969
K-Nearest Neighbors,0.7154009936124911,0.474671669793621,0.6764705882352942,0.557883131201764,0.7642163321191455
